id,Supplements,Category,Full_name,Brand,Rating,Count_review,Price,Serving_size,Composition
70316,Vitamins,Vitamin-D,"California Gold Nutrition, Витамин D3, 125 мкг (5000 МЕ), 90 рыбно-желатиновых мягких таблеток",California Gold Nutrition,4.8,4431,349.3,1,['Витамин\xa0D3 625%']
77548,Vitamins,Vitamin-D,"California Gold Nutrition, витамин D3, 50 мкг (2000 МЕ), 90 рыбно-желатиновых капсул",California Gold Nutrition,4.8,1493,310.49,1,[' Витамин\xa0D3   250%']
2582,Vitamins,Vitamin-D,"Natural Factors, Витамин D3, 25 мкг (1000 МЕ), 90 таблеток",Натурал Факторс,4.7,781,218.12,1,[]
16775,Vitamins,Vitamin-D,"Natural Factors, Витамины D3 и K2, 60 мягких желатиновых капсул",Натурал Факторс,4.7,218,1089.82,1,[' Витамин D3  1000 МЕ 250 % ']
22335,Vitamins,Vitamin-D,"Now Foods, высокоактивный витамин D3, 125 мкг (5000 МЕ), 240 мягких таблеток",Now Foods,4.9,22940,856.95,1,[]
52326,Vitamins,Vitamin-D,"Now Foods, максимально высокоактивный витамин D3, 250 мкг (10 000 МЕ), 120 мягких таблеток",Now Foods,4.9,7463,632.62,1,['Витамин D3 1250%']
16272,Vitamins,Vitamin-D,"Now Foods, витамин D3, высокоактивный, 50 мкг (2000 МЕ), 240 мягких таблеток",Now Foods,4.9,14882,632.95,1,[' Витамин\xa0D3  250% ']
70098,Vitamins,Vitamin-D,"Solaray, витамины D3 и K2, без сои, 125 мкг (5000 МЕ), 60 растительных капсул",Соларай,4.8,4920,796.41,1,"['Витамин\xa0D3 125\xa0мкг625%', 'Витамин\xa0K 50\xa0мкг42%', 'Кальций 110\xa0мг8%', 'Фосфор 85\xa0мг7%']"
543,Vitamins,Vitamin-D,"Now Foods, витамин D3, высокоактивный, 25 мкг (1000 МЕ), 180 мягких таблеток",Now Foods,4.8,5505,442.35,1,[]
10056,Vitamins,Vitamin-D,"Now Foods, витамины D3 и K2, 45 мкг (1000 МЕ), 120 растительных капсул",Now Foods,4.8,2215,605.59,1,"[' Витамин\xa0C  3\xa0мг  3% ', 'Витамин\xa0D3 125%']"
78779,Vitamins,Vitamin-D,"Life Extension, витамины D и К с Sea-Iodine, 125 мкг (5000 МЕ), 60 капсул",Лайф Экстэншн,4.8,1423,1397.21,1,"['Витамин\xa0D3 125\xa0мкг625%', 'Формы витамина\xa0К:витамин\xa0K1 2100\xa0мкг1000\xa0мкг1000\xa0мкг100\xa0мкг1750%', 'Йод [из комплексной смеси Sea-Iodine™ ]1000\xa0мкг667%']"
36580,Vitamins,Vitamin-D,"Doctor's Best, Витамин D3, 125 мг (5000 МЕ), 360 мягких таблеток",Докторс Бэст ,4.7,5449,884.12,1,[]
79866,Vitamins,Vitamin-D,"Now Foods, мега D3 и MK-7, 180 мкг (5000 МЕ), 60 растительных капсул",Now Foods,4.8,784,1165.11,1,['Витамин\xa0D3 625%']
17135,Vitamins,Vitamin-D,"Doctor's Best, Витамин D3, 2000 МЕ, 180 мягких таблеток",Докторс Бэст ,4.8,1016,463.41,1,[]
77415,Vitamins,Vitamin-D,"MRM, веганские витамины D3 и К2, 62,5 мкг (2500 МЕ), 60 веганских капсул",МРМ,4.7,1092,697.83,1,['Витамин\xa0D3 313%']
46683,Vitamins,Vitamin-D,"Life Extension, витамин D3, 125 мкг (5000 МЕ), 60 мягких таблеток",Лайф Экстэншн,4.9,606,582.17,1,[]
21367,Vitamins,Vitamin-D,"Doctor's Best, витамин D3, 125 мкг (5 000 МЕ), 180 мягких капсул",Докторс Бэст ,4.7,5449,504.55,1,[]
78093,Vitamins,Vitamin-D,"Now Foods, высокоактивный витамин D3, 50 мкг (2000 МЕ), 30 капсул",Now Foods,4.9,14882,195.61,1,[]
