Category,Supplements,Price,Rating,Count_review
AAKG-Arginine-A-Ketoglutarate,Amino-Acids,2247,4.55,35
Acai,Greens-Superfoods,797,4.08,1177
Acetyl-L-Carnitine,Amino-Acids,1544,4.45,298
Algae,Greens-Superfoods,1595,4.61,701
BCAA,Amino-Acids,1434,4.56,450
Beet,Greens-Superfoods,907,4.46,87
Beta-Alanine,Amino-Acids,1863,4.65,90
Black-Seed,Fish-Oil-Omegas-EPA-DHA,1143,4.7,181
Borage-Oil,Fish-Oil-Omegas-EPA-DHA,1447,4.45,130
Boron,Minerals,1128,4.48,152
Calcium,Minerals,1219,4.54,435
Camu-Camu,Greens-Superfoods,1608,4.6,75
Cherry-Fruit-Tart-Black,Greens-Superfoods,1424,4.44,80
Chlorophyll,Greens-Superfoods,1069,4.5,440
Choline,Minerals,1487,4.43,2564
Chromium,Minerals,796,4.5,313
Cod-Liver-Oil,Fish-Oil-Omegas-EPA-DHA,1188,4.62,240
Copper,Minerals,506,4.65,306
Cranberry,Greens-Superfoods,1140,4.52,747
DHA,Fish-Oil-Omegas-EPA-DHA,1981,4.53,269
EFA-Omega-3-6-9-Combinations,Fish-Oil-Omegas-EPA-DHA,1646,4.55,843
Evening-Primrose-Oil,Fish-Oil-Omegas-EPA-DHA,1172,4.58,408
Fruit-Blends,Greens-Superfoods,754,4.8,29
Gaba,Amino-Acids,1334,4.41,511
Greens,Greens-Superfoods,2107,4.47,83
Greens-Superfoods-Blends,Greens-Superfoods,1389,4.56,102
Iodine,Minerals,2136,4.69,398
Iron,Minerals,947,4.57,506
Krill-Oil,Fish-Oil-Omegas-EPA-DHA,2573,4.38,782
L-Arginine,Amino-Acids,1219,4.48,228
L-Carnitine,Amino-Acids,1692,4.46,347
L-Carnosine,Amino-Acids,1999,4.5,146
L-Citrulline,Amino-Acids,1422,4.52,101
L-Cysteine,Amino-Acids,1083,4.23,931
L-Glutamine,Amino-Acids,1037,4.53,208
L-Leucine,Amino-Acids,1705,4.1,28
L-Lysine,Amino-Acids,911,4.66,297
L-Methionine,Amino-Acids,947,4.6,113
L-Ornithine,Amino-Acids,1211,4.4,235
L-Phenylalanine,Amino-Acids,918,4.23,102
L-Proline,Amino-Acids,1109,4.55,178
L-Taurine,Amino-Acids,959,4.63,528
L-Theanine,Amino-Acids,1255,4.47,263
L-Tryptophan,Amino-Acids,1668,4.34,267
L-Tyrosine,Amino-Acids,877,4.52,374
Lithium,Minerals,620,4.62,348
Maca,Greens-Superfoods,1221,4.25,561
Magnesium,Minerals,1343,4.56,639
Manganese,Minerals,935,4.58,55
Mangosteen,Greens-Superfoods,954,4.38,21
Maqui-Berry,Greens-Superfoods,1048,4.3,55
Molybdenum,Minerals,684,4.77,138
Moringa,Greens-Superfoods,1629,4.44,75
Multimineral-Formulas,Minerals,1426,4.5,98
Multivitamins,Vitamins,2409,4.58,748
N-Acetyl-Cysteine-NAC,Amino-Acids,1295,4.58,438
N-Acetyl-Glucosamine,Amino-Acids,1389,4.55,102
N-Acetyl-Tyrosine,Amino-Acids,1180,4.2,114
Noni,Greens-Superfoods,1363,4.32,121
Omega-3-Fish-Oil,Fish-Oil-Omegas-EPA-DHA,2165,4.63,1265
Omega-7,Fish-Oil-Omegas-EPA-DHA,1362,4.35,24
Potassium,Minerals,615,4.58,180
Pumpkin-Seed-Oil,Fish-Oil-Omegas-EPA-DHA,878,4.53,255
Salmon-Oil,Fish-Oil-Omegas-EPA-DHA,2284,4.64,246
Selenium,Minerals,829,4.71,504
Strontium,Minerals,1563,4.6,36
Trace-Minerals,Minerals,1559,4.63,226
Vanadyl,Minerals,1007,4.43,44
Vitamin-A,Vitamins,708,4.64,234
Vitamin-A-D,Vitamins,669,4.6,150
Vitamin-B,Vitamins,1036,4.56,306
Vitamin-D,Vitamins,1043,4.72,1123
Vitamin-E,Vitamins,1617,4.62,239
Vitamin-K,Vitamins,1545,4.66,256
Yeast,Greens-Superfoods,689,4.4,476
Zinc,Minerals,824,4.69,645
algae-omega-3,Fish-Oil-Omegas-EPA-DHA,1791,4.55,86
amino-acids-blends,Amino-Acids,1836,4.42,152
blueberry-supplements,Greens-Superfoods,1500,4.52,378
chia-supplements,Fish-Oil-Omegas-EPA-DHA,967,4.5,50
coconut-supplements,Greens-Superfoods,1401,4.45,462
elderberry-sambucus,Greens-Superfoods,1358,4.69,1035
flax-seed-supplements,Fish-Oil-Omegas-EPA-DHA,1246,4.57,160
goji-supplements,Greens-Superfoods,1210,4.34,40
l-glycine,Amino-Acids,756,4.68,444
mulberries,Greens-Superfoods,546,4.5,79
pomegranate-extract,Greens-Superfoods,1687,4.52,1794
slilica-ortho-silicic-acid,Minerals,1293,4.45,345
vitamin-c,Vitamins,1325,4.63,611
